Nome,student,link_std
Paul Halmos,V. S. Sunder,https://en.wikipedia.org/wiki/V._S._Sunder
Paul Halmos,Peter Rosenthal,https://en.wikipedia.org/wiki/Peter_Rosenthal
Wilhelm Wirtinger,Wilhelm Blaschke,https://en.wikipedia.org/wiki/Wilhelm_Blaschke
Wilhelm Wirtinger,Hilda Geiringer,https://en.wikipedia.org/wiki/Hilda_Geiringer
Wilhelm Wirtinger,Kurt Gödel,https://en.wikipedia.org/wiki/Kurt_G%C3%B6del
Wilhelm Wirtinger,Wilhelm Gross,https://en.wikipedia.org/wiki/Wilhelm_Gross
Wilhelm Wirtinger,Eduard Helly,https://en.wikipedia.org/wiki/Eduard_Helly
Wilhelm Wirtinger,Leopold Vietoris,https://en.wikipedia.org/wiki/Leopold_Vietoris
Wilhelm Wirtinger,Roland Weitzenböck,https://en.wikipedia.org/wiki/Roland_Weitzenb%C3%B6ck
August Ferdinand Möbius,Otto Wilhelm Fiedler,https://en.wikipedia.org/wiki/Otto_Wilhelm_Fiedler
August Ferdinand Möbius,Hermann Hankel,https://en.wikipedia.org/wiki/Hermann_Hankel
Enrico Fermi,Harold Agnew,https://en.wikipedia.org/wiki/Harold_Agnew
Enrico Fermi,Edoardo Amaldi,https://en.wikipedia.org/wiki/Edoardo_Amaldi
Enrico Fermi,Owen Chamberlain,https://en.wikipedia.org/wiki/Owen_Chamberlain
Enrico Fermi,Geoffrey Chew,https://en.wikipedia.org/wiki/Geoffrey_Chew
Enrico Fermi,Mildred Dresselhaus,https://en.wikipedia.org/wiki/Mildred_Dresselhaus
Enrico Fermi,Jerome Friedman,https://en.wikipedia.org/wiki/Jerome_Isaac_Friedman
Enrico Fermi,Richard Garwin,https://en.wikipedia.org/wiki/Richard_Garwin
Enrico Fermi,Marvin Goldberger,https://en.wikipedia.org/wiki/Marvin_Goldberger
Enrico Fermi,Tsung-Dao Lee,https://en.wikipedia.org/wiki/Tsung-Dao_Lee
Enrico Fermi,Ettore Majorana,https://en.wikipedia.org/wiki/Ettore_Majorana
Enrico Fermi,Arthur Rosenfeld,https://en.wikipedia.org/wiki/Arthur_Rosenfeld
Enrico Fermi,Emilio Segrè,https://en.wikipedia.org/wiki/Emilio_Segr%C3%A8
Enrico Fermi,Sam Treiman,https://en.wikipedia.org/wiki/Sam_Treiman
Enrico Fermi,Jack Steinberger,https://en.wikipedia.org/wiki/Jack_Steinberger
Enrico Fermi,Chen Ning Yang,https://en.wikipedia.org/wiki/Chen_Ning_Yang
Roland Weitzenböck,George Griss,https://en.wikipedia.org/wiki/George_F_C_Griss
Nicholas Rescher,Alexander Pruss,https://en.wikipedia.org/wiki/Alexander_Pruss
Nicholas Rescher,Ernest Sosa,https://en.wikipedia.org/wiki/Ernest_Sosa
Ernest Sosa,Brie Gertler,https://en.wikipedia.org/wiki/Brie_Gertler
Ernest Sosa,John Greco,https://en.wikipedia.org/wiki/John_Greco_(philosopher)
