Nome,Ano_Nasc,Pais,Campo_Principal,link
Jeff Rosenthal,1967.0,Canada,Probability theory,https://en.wikipedia.org/wiki/Jeff_Rosenthal
Steve Alpern,1967.0,Canada,Mathematics,https://en.wikipedia.org/wiki/Steve_Alpern
Richard Courant,1888.0,Poland),Mathematics,https://en.wikipedia.org/wiki/Richard_Courant
Melba Phillips,1907.0,Indiana,Mathematics,https://en.wikipedia.org/wiki/Melba_Phillips
"John William Strutt, 3rd Baron Rayleigh",1842.0,England,Physics,"https://en.wikipedia.org/wiki/John_Strutt,_3rd_Baron_Rayleigh"
Melvin Schwartz,1932.0,U.S.,Particle physics,https://en.wikipedia.org/wiki/Melvin_Schwartz
Wilhelm Klinkerfues,1827.0,Germany,Astronomy,https://en.wikipedia.org/wiki/Wilhelm_Klinkerfues
J. J. Thomson,1856.0,England,Physics,https://en.wikipedia.org/wiki/J._J._Thomson
László Fejes Tóth,1915.0,Hungary,Physics,https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Fejes_T%C3%B3th
Guillaume de l'Hôpital,1661.0,France,Mathematician,https://en.wikipedia.org/wiki/Guillaume_de_l%27H%C3%B4pital
Heinrich Friedrich Weber,1843.0,German Confederation,Physicist,https://en.wikipedia.org/wiki/Heinrich_Friedrich_Weber
Herman Otto Hartley,1912.0,Germany,Statistics,https://en.wikipedia.org/wiki/Herman_Otto_Hartley
Loránd Eötvös,1848.0,Kingdom of Hungary,Physics,https://en.wikipedia.org/wiki/Lor%C3%A1nd_E%C3%B6tv%C3%B6s
Dmitri Mendeleev,1834.0,Russian Empire,Chemistry,https://en.wikipedia.org/wiki/Dmitri_Ivanovich_Mendeleev
Imre Leader,1963.0,Born (1963-10-30) 30 October 1963 (age 59),Combinatorics,https://en.wikipedia.org/wiki/Imre_Leader
Alfréd Haar,1885.0,Kingdom of Hungary,Mathematics,https://en.wikipedia.org/wiki/Alfr%C3%A9d_Haar
Kwan-ichi Terazawa,1882.0,Japan,Mathematics,https://en.wikipedia.org/wiki/Kwan-ichi_Terazawa
Clifford Hugh Dowker,1912.0,Canada,Knot theory,https://en.wikipedia.org/wiki/Clifford_Dowker
Charles Epstein,,U.S.,Mathematics  Applied Mathematics,https://en.wikipedia.org/wiki/Charles_Epstein
Ebenezer Laing,1931.0,Gold Coast,Botany,https://en.wikipedia.org/wiki/Ebenezer_Laing
Norman Shapiro,1932.0,1932,Botany,https://en.wikipedia.org/wiki/Norman_Shapiro
Haskell Curry,1900.0,US,Mathematics,https://en.wikipedia.org/wiki/Haskell_Curry
Ernest Fox Nichols,1869.0,Kansas,Mathematics,https://en.wikipedia.org/wiki/Ernest_Fox_Nichols
Richard Palais,1931.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Richard_Palais
Joseph Kruskal,1928.0,USA,Mathematics,https://en.wikipedia.org/wiki/Joseph_Kruskal
Alexander Weinstein,1897.0,Russia,Mathematics,https://en.wikipedia.org/wiki/Alexander_Weinstein
Isaac Barrow,1630.0,England,Mathematics,https://en.wikipedia.org/wiki/Isaac_Barrow
Gotthold Eisenstein,1823.0,Prussia,Mathematics,https://en.wikipedia.org/wiki/Ferdinand_Eisenstein
Ernst Peter Fischer,1947.0,Born (1947-01-18) 18 January 1947 (age 76),Mathematics,https://en.wikipedia.org/wiki/Ernst_Peter_Fischer
William Ramsay,1852.0,Scotland,Chemistry,https://en.wikipedia.org/wiki/Sir_William_Ramsay
Takahiko Yamanouchi,1902.0,1902Kanagawa,Physics,https://en.wikipedia.org/wiki/Takahiko_Yamanouchi
Joseph O. Hirschfelder,1911.0,U.S.,Physics,https://en.wikipedia.org/wiki/Joseph_O._Hirschfelder
Charles Glover Barkla,1877.0,England,Physics,https://en.wikipedia.org/wiki/Charles_Glover_Barkla
Richard Garwin,1928.0,U.S.,Physics,https://en.wikipedia.org/wiki/Richard_Garwin
Robert Smith (mathematician),1689.0,England,Mathematician,https://en.wikipedia.org/wiki/Robert_Smith_(mathematician)
Joseph L. Walsh,1895.0,D. C.,Mathematics,https://en.wikipedia.org/wiki/Joseph_Leonard_Walsh
Edwin Hewitt,1920.0,U.S.,Mathematics,https://en.wikipedia.org/wiki/Edwin_Hewitt
Achilles Papapetrou,1907.0,Greece),Theoretical Physics,https://en.wikipedia.org/wiki/Achilles_Papapetrou
Ádám Korányi,1932.0,Hungary,Mathematics,https://en.wikipedia.org/wiki/%C3%81d%C3%A1m_Kor%C3%A1nyi
John Greco (philosopher),1961.0,1961 (age 62),Mathematics,https://en.wikipedia.org/wiki/John_Greco_(philosopher)
Hillel Furstenberg,1935.0,Nazi Germany,Mathematics,https://en.wikipedia.org/wiki/Hillel_Furstenberg
Georges Matheron,1930.0,BornGeorges François Paul Marie Matheron2 December 1930,Mathematics,https://en.wikipedia.org/wiki/Georges_Matheron
Hermann Hankel,1839.0,Germany,Mathematical analysis,https://en.wikipedia.org/wiki/Hermann_Hankel
Donald J. Newman,1930.0,New York,Mathematics,https://en.wikipedia.org/wiki/Donald_J._Newman
Johann Radon,1887.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Johann_Radon
Gabriel Lippmann,1845.0,Luxembourg (since 1921 part of Luxembourg City),Physics,https://en.wikipedia.org/wiki/Gabriel_Lippmann
Alfred North Whitehead,1861.0,England,Physics,https://en.wikipedia.org/wiki/Alfred_North_Whitehead
Friedrich Hund,1896.0,German Empire,Physics,https://en.wikipedia.org/wiki/Friedrich_Hund
Robert König,1885.0,Austria-Hungary,Mathematics,https://en.wikipedia.org/wiki/Robert_K%C3%B6nig
Lawrence Bragg,1890.0,South Australia,Physics,https://en.wikipedia.org/wiki/Lawrence_Bragg
Barbara Liskov,1939.0,US,Computer science,https://en.wikipedia.org/wiki/Barbara_Liskov
Gilbert Hunt,1916.0,D.C.[1],Computer science,https://en.wikipedia.org/wiki/Gilbert_Hunt
Sidney Dancoff,1913.0,1913Philadelphia,Computer science,https://en.wikipedia.org/wiki/Sidney_Dancoff
